ID,SMILES,vdW_vol,XLogP
LS58,[C@@H](C(O)=O)(CCSC)N,139.4861608,-1.853
LS55,[C@@H](C(O)=O)(CS)N,104.8941915,-2.575
N108,[C@@H](CCCCCC)(C(O)=O)N,172.8650906,-0.19
LS53,[C@@H](CCCCCCC)(C(O)=O)N,190.1610752,0.379
N22,[C@H](C[Se]CC=C)(C(O)=O)N,158.4475742,-2.116
LS33,[C@H](CCCCCC)(C(O)=O)N,172.8650906,-0.19
LS54,[C@H](CCCCCCCC)(C(OC)=O)N,224.7530445,3.435
LS28,[C@H](CCCCSC)(C(O)=O)N,174.07813,-1.137
N13,[C@H](CSCCC#C)(C(OC)=O)N,186.1011973,0.637
N1,[C@H](CSCCC)(C(OC)=O)N,174.07813,0.992
N8,[C@H](CSCCCBr)(C(OC)=O)N,193.361749,1.672
N14,[C@H](CSCCCC#C)(C(OC)=O)N,203.3971819,0.995
N2,[C@H](CSCCCC)(C(OC)=O)N,191.3741147,1.561
N15,[C@H](CSCCCCC#C)(C(OC)=O)N,220.6931665,1.564
N3,[C@H](CSCCCCC)(C(OC)=O)N,208.6700993,2.13
N12,[C@H](CSCCCCC=C)(C(OC)=O)N,223.3296252,2.333
N4,[C@H](CSCCCCCC)(C(OC)=O)N,225.9660839,2.699
N5,[C@H](CSCCCCCCC)(C(OC)=O)N,243.2620686,3.268
N6,[C@H](CSCCCCCCCC)(C(OC)=O)N,260.5580532,3.837
N7,[C@H](CSCCCCCCCCC)(C(OC)=O)N,277.8540378,4.406
N11,[C@H](CSCCCCCN=[N+]=[N-])(C(OC)=O)N,236.3874625,1.413
N10,[C@H](CSCCCCN=[N+]=[N-])(C(OC)=O)N,219.0914779,1.055
N9,[C@H](CSCCCN=[N+]=[N-])(C(OC)=O)N,201.7954933,0.697
LS5,[C@H](N)(C[Se]C1=CC=CC=C1)C(O)=O,181.806152,-1.013
N18,[C@H](SC[C@@H](C(O)=O)N)(C)C1=C(N(=O)=O)C=C(OC)C(OC)=C1,290.2094113,-1.019
LS19,[H][C@](N)(CC1=CC=C(OC(F)(F)F)C=C1)C(O)=O,203.2841283,-0.212
LS6,C#CCOC1=CC=C(C=C1)C[C@@H](C(=O)O)N,214.4005036,-1.196
N19,C([C@@H](C(=O)O)N)SC(C)C1=CC2=C(C=C1[N](=O)=O)OCO2,260.556968,-1.092
N94,C([C@@H](C(O)=O)N)C=1C=2C(NC1)=CC=C(N)C2,189.6878127,-2.088
N96,C([C@@H](C(O)=O)N)C=1C=2C(NC1)=CC=C(N=[N+]=[N-])C2,206.4084157,-1.223
N93,C([C@@H](C(O)=O)N)C=1C=2C(NC1)=CC=C(O)C2,187.4812792,-1.677
N95,C([C@@H](C(O)=O)N)C=1C=2C(NC1)=CC=C(OC)C2,204.7772638,-1.356
N97,C([C@@H](C(O)=O)N)C=1C=2C(NC1)=CC=C(OCC#C)C2,234.0963157,-1.088
LS52,C([C@@H](C(O)=O)N)C=1N(C)C=NC1,149.0332503,-3.125
N49,C[N]1=CNC=C1C[C@H](N)C(=O)O,157.2967916,-2.872
N35,C([C@@H](C(O)=O)N)C1=C(Br)C=CC=C1,178.2788594,-0.581
N37,C([C@@H](C(O)=O)N)C1=C(C#N)C=CC=C1,182.0150679,-1.656
N32,C([C@@H](C(O)=O)N)C1=C(C)C=CC=C1,176.2912251,-0.942
N34,C([C@@H](C(O)=O)N)C1=C(Cl)C=CC=C1,174.2063082,-0.757
N36,C([C@@H](C(O)=O)N)C1=C(I)C=CC=C1,184.2720421,-0.311
N33,C([C@@H](C(O)=O)N)C1=C(OC)C=CC=C1,185.0814518,-1.464
