ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap
2,C(=O)(CN)O,67.727,-3.21,2.31
3,CC(N)C(=O)O,84.313,-2.96,2.47
5,C(=O)(C1CCCN1)O,108.43,-2.5,1.94
7,C(=O)(O)CC(N)C(=O)O,111.556,-3.89,1.7
11,CC(C)C(N)C(=O)O,117.702,-2.26,2.72
13,C(=O)(CCC(N)C(=O)O)O,128.357,-3.69,1.88
17,C(C)(C)CC(N)C(=O)O,134.504,-1.52,2.79
19,C(C)C(C)C(N)C(=O)O,134.504,-1.72,2.79
73,CC(C)(C)C(N)C(=O)O,133.939,-1.77,2.79
137,C(C)CC(N)C(=O)O,117.917,-2.11,2.71
157,CCC(N)C(=O)O,101.115,-2.53,2.62
5857,C(CCC(N)C(=O)O)N,129.447,-4.41,2.67
5923,CC(N)C(N)C(=O)O,112.43,-3.2,2.22
5927,C(N)CC(N)C(=O)O,112.645,-4.64,2.55
5939,NCC(N)C(=O)O,95.843,-4.31,2.1
6133,C(=O)(O)C(C)C(N)C(=O)O,128.142,-3.3,1.87
16519,C(=O)(CNC)O,85.401,-2.78,2.06
16529,CCNCC(=O)O,102.203,-2.78,2.2
16547,CC(C(=O)O)NC,101.988,-2.49,2.16
16553,CC(C)(C(=O)O)N,100.55,-2.81,2.58
16561,CCC(C)(C(=O)O)N,117.352,-2.28,2.68
16567,CC(CC(=O)O)(C(=O)O)N,127.793,-3.68,1.84
16573,C1CCC(C1)(C(=O)O)N,123.794,-2.58,2.48
16603,C1CCNC(C1)C(=O)O,125.232,-2.31,2.06
16607,CC(CCC(=O)O)(C(=O)O)N,144.594,-3.32,1.98
16619,C(CC(C(=O)O)N)CC(=O)O,145.159,-3.15,2.01
16631,CCCC(C)(C(=O)O)N,134.154,-1.93,2.75
16633,CCC(CC)(C(=O)O)N,134.154,-1.76,2.76
16649,CC(C)C(C)(C(=O)O)N,133.939,-1.85,2.76
16651,C(CCC(=O)O)CC(C(=O)O)N,161.961,-2.61,2.13
16657,CCCCCC(C(=O)O)N,151.521,-1,2.85
16661,CCCC(C)C(C(=O)O)N,151.306,-1.18,2.85
16673,CCCCC(C)(C(=O)O)N,150.956,-1.38,2.81
16691,CCC(C)CC(C(=O)O)N,151.306,-0.98,2.85
16693,CCC(CC)C(C(=O)O)N,151.306,-1.36,2.85
16699,CCCC(CC)(C(=O)O)N,150.956,-1.4,2.81
16703,CC(C)C(C)C(C(=O)O)N,151.091,-1.47,2.85
16729,CCC(C)C(C)(C(=O)O)N,150.741,-1.49,2.81
16741,CCC(C)(C)C(C(=O)O)N,150.741,-1.41,2.85
16747,CCC(C(C)C)(C(=O)O)N,150.741,-1.32,2.82
16759,CC(C)CCC(C(=O)O)N,151.306,-1.32,2.85
16763,CC(C)CC(C)(C(=O)O)N,150.741,-1.49,2.81
16787,CC(C)(C)C(C)(C(=O)O)N,150.176,-1.45,2.82
16811,CC(C)(C)CC(C(=O)O)N,150.741,-1.42,2.85
