ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap
2,C(=O)(CN)O,67.727,-3.409459573,2.307456882
3,C(C)[C@@H](C)[C@@H](N)C(=O)O,134.504,-1.508406606,2.791308272
5,C(C)(C)C[C@H](N)C(=O)O,134.504,-1.586157172,2.787708882
7,CC(C)[C@@H](N)C(=O)O,117.702,-1.953136464,2.717273382
11,C[C@@H](N)C(=O)O,84.313,-2.84078791,2.474897471
13,C(=N)(NCCC[C@@H](N)C(=O)O)N,164.147,-3.155937377,12.41100429
17,c1(cnc[nH]1)C[C@H](N)C(=O)O,136.792,-3.61602248,1.849972677
19,C(CN)CC[C@@H](N)C(=O)O,146.248,-3.214534721,2.738286245
23,C(=O)(CC[C@@H](N)C(=O)O)O,128.357,-3.241447076,1.877777281
29,C(=O)(O)C[C@H](N)C(=O)O,111.556,-3.503752755,1.702543592
31,C[C@H](O)[C@@H](N)C(=O)O,109.159,-3.470963524,2.207432029
37,OC[C@H](N)C(=O)O,92.572,-3.887735233,2.033990015
41,C(C[C@H](N)C(=O)O)SC,136.046,-2.189326617,2.531921004
43,C(S)[C@@H](N)C(=O)O,102.215,-2.792133298,2.345995198
47,C(=O)(CC[C@H](N)C(=O)O)N,131.628,-4.001133405,2.147142616
53,C(=O)(N)C[C@H](N)C(=O)O,114.826,-4.287830841,1.998539099
59,c1(ccccc1)C[C@H](N)C(=O)O,155.963,-1.184438469,2.469229772
61,c12c(cccc2)[nH]cc1C[C@@H](N)C(=O)O,184.94,-1.085456914,2.543928638
67,c1(ccc(cc1)C[C@@H](N)C(=O)O)O,163.981,-1.488594037,1.999847251
71,C(=O)([C@H]1CCCN1)O,108.43,-2.568638276,1.940670771
