ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap
2,C(=O)(CN)O,67.727,-3.409459573,2.307456882
3,C(C)[C@@H](C)[C@@H](N)C(=O)O,134.504,-1.508406606,2.791308272
5,C(C)(C)C[C@H](N)C(=O)O,134.504,-1.586157172,2.787708882
7,CC(C)[C@@H](N)C(=O)O,117.702,-1.953136464,2.717273382
11,C[C@@H](N)C(=O)O,84.313,-2.84078791,2.474897471
13,C(=N)(NCCC[C@@H](N)C(=O)O)N,164.147,-3.155937377,12.41100429
17,c1(cnc[nH]1)C[C@H](N)C(=O)O,136.792,-3.61602248,1.849972677
19,C(CN)CC[C@@H](N)C(=O)O,146.248,-3.214534721,2.738286245
23,C(=O)(CC[C@@H](N)C(=O)O)O,128.357,-3.241447076,1.877777281
29,C(=O)(O)C[C@H](N)C(=O)O,111.556,-3.503752755,1.702543592
31,C[C@H](O)[C@@H](N)C(=O)O,109.159,-3.470963524,2.207432029
37,OC[C@H](N)C(=O)O,92.572,-3.887735233,2.033990015
41,C(C[C@H](N)C(=O)O)SC,136.046,-2.189326617,2.531921004
43,C(S)[C@@H](N)C(=O)O,102.215,-2.792133298,2.345995198
47,C(=O)(CC[C@H](N)C(=O)O)N,131.628,-4.001133405,2.147142616
53,C(=O)(N)C[C@H](N)C(=O)O,114.826,-4.287830841,1.998539099
59,c1(ccccc1)C[C@H](N)C(=O)O,155.963,-1.184438469,2.469229772
61,c12c(cccc2)[nH]cc1C[C@@H](N)C(=O)O,184.94,-1.085456914,2.543928638
67,c1(ccc(cc1)C[C@@H](N)C(=O)O)O,163.981,-1.488594037,1.999847251
71,C(=O)([C@H]1CCCN1)O,108.43,-2.568638276,1.940670771
73,CC(C)(C)[C@H](N)C(=O)O,133.939,-1.574080396,2.793638641
79,C(CC[C@@H](N)C(=O)O)C,134.719,-1.428628754,2.787851162
83,C(=C)CC[C@@H](N)C(=O)O,129.087,-1.732811194,2.69601066
89,C(=C)(C)C[C@H](N)C(=O)O,128.846,-1.93392504,2.689207236
97,C(=C)[C@H](C)[C@H](N)C(=O)O,128.872,-1.812485605,2.693060683
101,C(=C\C[C@@H](N)C(=O)O)/C,128.532,-1.790669826,2.689348165
103,C(=C\[C@@H](N)C(=O)O)/CC,128.532,-1.632653273,2.62646576
107,C=C(CC)[C@@H](N)C(=O)O,128.846,-1.776344277,2.630694449
109,C(=C[C@H](N)C(=O)O)(C)C,128.291,-1.833807464,2.626332386
113,C(=C(\C)/[C@H](N)C(=O)O)/C,128.291,-1.834279505,2.630701896
127,C(=C)/C=C/[C@H](N)C(=O)O,122.901,-1.937242281,2.53512833
131,C(=C)C(=C)[C@H](N)C(=O)O,123.215,-2.080647077,2.533367072
137,C(C)C[C@@H](N)C(=O)O,117.917,-1.873375217,2.713674662
139,C(=C\[C@H](N)C(=O)O)/C,111.73,-2.077855359,2.538657558
149,C=C(C)[C@H](N)C(=O)O,112.045,-2.221496824,2.543026301
151,C(=C)C[C@H](N)C(=O)O,112.286,-2.177492511,2.601537608
157,CC[C@H](N)C(=O)O,101.115,-2.318149812,2.61575512
163,C=C[C@@H](N)C(=O)O,95.484,-2.465184834,2.422371811
167,C(CN)NC[C@H](N)[C@H](N)C(=O)O,169.965,-5.401473503,2.036323232
173,C(CN)N[C@H](CN)[C@@H](N)C(=O)O,169.965,-5.409466182,1.828066214
179,[C@H](CN)(NC)[C@@H](N)[C@@H](N)C(=O)O,169.75,-5.257217461,1.995577781
181,[C@@H](CNC)(N)[C@@H](N)[C@@H](N)C(=O)O,169.75,-5.326811511,2.072480811
191,[C@H](CN)(N)[C@H](NC)[C@H](N)C(=O)O,169.75,-5.266215607,1.855543483
193,C(CN)(CN)NC[C@H](N)C(=O)O,169.965,-5.342289619,1.871717593
197,[C@H](CNC[C@@H](N)C(=O)O)(CN)N,169.965,-5.348412346,1.911579354
199,[C@@H](CCN)(NC[C@@H](N)C(=O)O)N,169.965,-4.78805759,2.723432724
211,[C@@H](CN)(NCC[C@H](N)C(=O)O)N,169.965,-5.021089846,2.71061476
223,[C@@H](NCCN)(N)C[C@H](N)C(=O)O,169.965,-4.839263862,2.68907128
227,C(NC)[C@@](CN)(N)[C@H](N)C(=O)O,169.4,-5.359770542,3.066509856
